simb,n_simb,ucar_id,descr_ucar,tipo,cap_uso,ucar_ip,act
SI,1,2064,Consociacion Santa Isabel,Consociacion,I-3,81,0
SI1,1,2065,Complejo Santa Isabel 1,Complejo,IIIws,65,0
SI17,1,2066,Asociacion Santa Isabel 17,Asociacion,IIs,79,0
SI18,1,2067,Asociacion Santa Isabel 18,Asociacion,IIs,84,0
SI19,1,2068,Complejo Santa Isabel 19,Complejo,IIs,85,0
SI2,1,2069,Asociacion Santa Isabel 2,Asociacion,IIs,79,0
SI20,1,2070,Complejo Santa Isabel 20,Complejo,IIs,71,0
SI22,1,2071,Complejo Santa Isabel 22,Complejo,NA,NA,1
SI23,1,2072,Complejo Santa Isabel 23,Complejo,NA,NA,1
SI3,1,2073,Asociacion Santa Isabel 3,Asociacion,IIs,76,0
SI5,1,2074,Consociacion Santa Isabel 5,Consociacion,IIIws,64,0
SIs,1,2075,Complejo San Isidro,Complejo,VIws,31,0
SL1,1,2076,Complejo Santa Lucia 1,Complejo,NA,35,1
SL2,1,2077,Complejo Santa Lucia 2,Complejo,NA,NA,1
SL3,1,2078,Complejo Santa Lucia 3,Complejo,NA,NA,1
SL4,1,2079,Asociacion Santa Lucia 4,Asociacion,NA,NA,1
SLB,1,2080,Consociacion San Luis Beltran,Consociacion,VIw,22,0
SLB1,1,2081,Consociacion San Luis Beltran 1,Consociacion,VIIw,5,0
Sm,1,2082,Consociacion Capitan Sarmiento,Consociacion,IIs,72,0
Sm1,1,2083,Consociacion Capitan Sarmiento 1,Consociacion,I-2,80,0
Sm10,1,2084,Asociacion Capitan Sarmiento 10,Asociacion,IIe,42,0
Sm11,1,2085,Complejo Capitan Sarmiento 11,Complejo,IIIes,51,0
Sm12,1,2086,Asociacion Capitan Sarmiento 12,Asociacion,I-2,64,0
Sm13,1,2087,Asociacion Capitan Sarmiento 13,Asociacion,IVes,36,0
Sm2,1,2088,Consociacion Capitan Sarmiento 2,Consociacion,IIIe,50,0
Sm3,1,2089,Consociacion Capitan Sarmiento 3,Consociacion,IIIes,58,0
Sm4,1,2090,Consociacion Capitan Sarmiento 4,Consociacion,IVes,47,0
Sm5,1,2091,Consociacion Capitan Sarmiento 5,Consociacion,IIIws,69,0
Sm6,1,2092,Asociacion Capitan Sarmiento 6,Asociacion,IIIes,49,0
Sm7,1,2093,Asociacion Capitan Sarmiento 7,Asociacion,IIIws,64,0
Sm8,1,2094,Asociacion Capitan Sarmiento 8,Asociacion,IIIes,64,0
Sm9,1,2095,Asociacion Capitan Sarmiento 9,Asociacion,IIIws,53,0
Smx,1,2096,Consociacion Capitan Sarmiento,Consociacion,NA,NA,1
Sol3,1,2097,Asociacion Sola 3,Asociacion,IVsc,43,0
Sol5,1,2098,Complejo Sola 5,Complejo,IVsc,48,0
Sol6,1,2099,Consociacion Sola 6,Consociacion,IIIsc,26,0
SP,1,2100,Consociacion Sierra de los Padres,Consociacion,VIes,15,0
SP1,1,2101,Consociacion Sierra de los Padres 1,Consociacion,VIes,14,0
SP10,1,2102,Complejo Sierra de los Padres 10,Complejo,IVes,23,0
SP2,1,2103,Complejo Sierra de los Padres 2,Complejo,IVes,22,0
SP3,1,2104,Complejo Sierra de los Padres 3,Complejo,IVes,25,0
SP4,1,2105,Consociacion Sierra de los Padres 4,Consociacion,VIes,16,0
SP5,1,2106,Complejo Sierra de los Padres 5,Complejo,VIes,18,0
SP6,1,2107,Complejo Sierra de los Padres 6,Complejo,VIes,18,0
SP7,1,2108,Consociacion Sierra de los Padres 7,Consociacion,IVes,20,0
SP8,1,2109,Complejo Sierra de los Padres 8,Complejo,IVes,18,0
SP9,1,2110,Consociacion Sierra de los Padres 9,Consociacion,VIes,16,0
SPr,1,2111,Complejo San Pedro,Complejo,NA,NA,1
SRg1,1,2112,Asociacion Santa Regina 1,Asociacion,IVws,31,0
SRg2,1,2113,Complejo Santa Regina 2,Complejo,IVws,30,0
SRi,1,2114,Complejo Santa Rita,Complejo,VIws,23,0
SRi1,1,2115,Complejo Santa Rita 1,Complejo,VIws,14,0
SRi10,1,2116,Complejo Santa Rita 10,Complejo,VIws,21,0
SRi11,1,2117,Complejo Santa Rita 11,Complejo,VIws,15,0
SRi2,1,2118,Complejo Santa Rita 2,Complejo,VIws,16,0
SRi4,1,2119,Complejo Santa Rita 4,Complejo,VIIws,10,0
SRi5,1,2120,Complejo Santa Rita 5,Complejo,VIIws,10,0
SRi6,1,2121,Complejo Santa Rita 6,Complejo,VIws,20,0
SRi7,1,2122,Complejo Santa Rita 7,Complejo,VIws,16,0
SRi9,1,2123,Santa Rita 9,NA,VIws,17,0
Ss,1,2124,Consociacion Solis,Consociacion,IIIw,65,0
Ss1,1,2125,Consociacion Solis 1,Consociacion,IIIe,46,0
Ss10,1,2126,Consociacion Solis 10,Consociacion,IIIw,58,0
Ss11,1,2127,Asociacion Solis 11,Asociacion,IIIes,52,0
Ss12,1,2128,Consociacion Solis 12,Consociacion,IIIe,62,0
Ss13,1,2129,Asociacion Solis 13,Asociacion,IIIes,61,0
Ss14,1,2130,Asociacion Solis 14,Asociacion,IIIws,56,0
Ss15,1,2131,Asociacion Solis 15,Asociacion,IIIws,54,0
Ss16,1,2132,Asociacion Solis 16,Asociacion,IVes,37,0
Ss17,1,2133,Asociacion Solis 17,Asociacion,IIIw,57,0
Ss18,1,2134,Consociacion Solis 18,Consociacion,IIIes,59,0
Ss19,1,2135,Asociacion Solis 19,Asociacion,IVes,40,0
Ss2,1,2136,Consociacion Solis 2,Consociacion,IIe,72,0
Ss20,1,2137,Asociacion Solis 20,Asociacion,IVes,38,0
Ss21,1,2138,Asociacion Solis 21,Asociacion,IIIws,52,0
Ss22,1,2139,Asociacion Solis 22,Asociacion,IIIws,56,0
Ss23,1,2140,Asociacion Solis 23,Asociacion,IIIws,66,0
Ss24,1,2141,Asociacion Solis 24,Asociacion,IIIes,63,0
Ss25,1,2142,Asociacion Solis 25,Asociacion,IIIw,59,0
Ss3,1,2143,Consociacion Solis 3,Consociacion,IVe,29,0
Ss4,1,2144,Consociacion Solis 4,Consociacion,IIIe,55,0
Ss5,1,2145,Consociacion Solis 5,Consociacion,IIIe,42,0
Ss6,1,2146,Asociacion Solis 6,Asociacion,IVes,29,0
Ss7,1,2147,Asociacion Solis 7,Asociacion,IVes,29,0
Ss8,1,2148,Asociacion Solis 8,Asociacion,IIIes,55,0
Ss9,1,2149,Asociacion Solis 9,Asociacion,IVes,42,0
Ssx,1,2150,Consociacion Solis,Consociacion,IIw,80,0
ST,1,2151,Complejo Santa Teresita,Complejo,VIes,34,0
Su10,1,2152,Complejo Suipacha 10,Complejo,VIws,29,0
Su11,1,2153,Consociacion Suipacha 11,Consociacion,Vw,41,0
Su12,1,2154,Complejo Suipacha 12,Complejo,VIws,13,0
Su2,1,2155,Complejo Suipacha 2,Complejo,IVws,40,0
Su3,1,2156,Complejo Suipacha 3,Complejo,IVws,35,0
Su4,1,2157,Complejo Suipacha 4,Complejo,VIws,30,0
Su5,1,2158,Complejo Suipacha 5,Complejo,Vw,41,0
Su6,1,2159,Complejo Suipacha 6,Complejo,IVws,38,0
Su7,1,2160,Asociacion Suipacha 7,Asociacion,VIws,37,0
Su8,1,2161,Asociacion Suipacha 8,Asociacion,IVws,39,0
Su9,1,2162,Complejo Suipacha 9,Complejo,IVws,42,0
SV,1,2163,Complejo San Vicente,Complejo,IVws,30,0
SV1,1,2164,Consociacion San Vicente 1,Consociacion,IVws,68,0
SV10,1,2165,Complejo San Vicente 10,Complejo,IVws,44,0
SV2,1,2166,Complejo San Vicente 2,Complejo,Vws,31,0
