serie,taxo
Tornquist,NA
Bonete,NA
Mal Abrigo,Pelludert tipico salino
Ignacio Correa,Paleudol acuico
Monte,"Natrudol tipico, profunda"
Estacion Yerbas,"Natracualfs petrocalcico,mod.prof."
Gonzalez Chaves,Hapludol litico
Estacion Quilco,Natralbol tipico
San Gabriel,"Natracualfs petrocalcico, mod.prof."
La Tigra,"Natrudol tipico,  muy profunda"
Santa Paula,"Natrudol petrocalcico,mod.profun."
El Toro,Hapludol tapto argico
Sauce Chico,NA
Goyena,Duracuol natrico
Cuatreros,Ustifluvent acuico
General Lavalle,Pelludert tipico salino
Pergamino,NA
Ramallo,NA
Martin Colman,Albacualf vertico
Rauch,Natracualf tipico
Juncalito,Natracualf glosico
El Carmen,"Natrudol tipico, muy profunda"
El Tordillo,Pelludert tipico salino
Estancia La Angelita,Halacuept aerico
Gowland,Argiudol acuico
Tatay,Natracualf tipico
Coronel Vidal,Natracuol tipico
Zapiola,Natracualf molico
Tatay,NA
Navarro,NA
San Sebastian,Natracualf molico
Drabble,Duracuol natrico
Chacabuco,NA
Rawson,NA
Isla Zuraita,Ustifluvent acuico
Estancia Los Andes,Haplustol udortentico
Miscelaneas (agua),Miscelaneas (agua)
Miscelaneas,Miscelaneas (agua)
General Conesa,Hapludol fluventico
Minana,"Natracualfs petrocalcico,mod.prof."
La Escocia,"Natrudol petrocalcico, mod.profun."
La Loma,"Paleudol petrocalcico,f.mod.profunda"
Pueblitos,Natralbol tipico
La Maria Luisa,"Natralbol petrocalcico,mod.profun."
La Maria Luisa,"Natrudol petrocalcico,mod.profun."
Cruzada,"Natrudol petrocalcico,mod.profun."
Coronel Bunge,"Natracualfs petrocalcico,mod.prof."
Minana,"Paleudol petrocalcico, profunda"
Faustina,Natracualf molico
Mechongue,NA
Las Delicias,Hapludol thapto natrico
La Limpia,Natracualf tipico
Videla Dorna,Duracuol natrico
La Paulina,"Natracualfs petrocalcico,mod. prof."
Nueve de Julio,Hapludol tapto natrico
Semillero Buck,NA
Rancho Grande,NA
La Tigra,NA
Pillahuinco,NA
Estancia Quince de Abril,NA
Alejandro Korn,Argiacuol vertico
Tamangueyu,Natracuol tipico
Estancia La Margarita,Hapludol litico
Las Hermanas,"Natrudol petrocalcico, mod.profun."
Las Hermanas,NA
Segui,NA
Estancia Aldecoa,Argialbol argiacuico
Blanca Chica,NA
Tres Arroyos,NA
Ramon Santamarina,NA
San Cayetano,Hapludol entico
El Vigilante,"Natracuol calcico, mod. profunda"
San Cayetano,NA
Cristiano Muerto,NA
Ochandio,NA
El Gavilan,NA
Estancia La Salada,Hapludol fluventico
Villa,Hapludol cumulico
Dolores,Pelludert tipico acuico
Portela,NA
Gowland,NA
Pillahuinco,"Paleudol petrocalcico, somera"
Pinamar,Pelludert tipico
Estacion Segurola,Pelludert tipico natrico
Azul,"Paleudol petrocalcico,f. mod.prof."
Cobo,NA
Juancho,NA
Las Armas,NA
General Guido,NA
Ayacucho,NA
Maipu,NA
Napaleofu,NA
Monsalvo,NA
El Toro,NA
Udaondo,NA
La Otomana,Argiudol tipico
La Malacara,"Paleudol petrocalcico,mod.profund"
La Malacara,Argiudol tipico
La Reforma,"Paleudol petrocalcico,mod.profund"
Estacion Morea,Hapludol tapto argico
La Celina,Ustortent litico
Ramon Santamarina,Hapludol entico
Olavarria,"Paleudol petrocalcico,mod.profun."
Lincoln,Hapludol tapto natrico
El Carrizal,Natracuol tipico
Punta Medanos,Uidipsament tipico
Magdalena,Paleudoles Acuicos
Faustina,Argiudol abruptico
Tambo Nuevo,Argiudol tipico
Luis Chico,Paleudoles Acuicos
Lincoln,NA
Pehuajo,NA
Saavedra,Argiustol paquico
General Madariaga,Pelludert tipico
Villa Gesell,Uidipsament acuico
El Tuyu,Uidipsament tipico
Laguna Blanca,Haplacuol tipico
Carhue,Argiacuol vertico
Veronica,NA
Peyrano,NA
Inclusion de suelo de 8-10 cm de espesor,NA
Tosca,Aflloramiento de tosca
Cinco Cerros,NA
Tosca,Miscelaneas
Los Indios,Natracuol tipico
Wheelwright y el Recuerdo,Natralbol tipico
Leguizamon,Haplustol udico
Necochea,NA
La Cesira,Fragiacualf tipico
Las Marinas,Argialbol tipico
Azul,Hapludol tipico
Las Hermanas,Hapludol thapto natrico
Capitan Sarmiento,NA
Cañada Honda,NA
Goyeneche,Argialbol argiacuico
Guillermo,NA
Semillero Buck,"Paleudol petrocalcico, mod.profun."
La Malacara,Argiudol acuico
Tres Arroyos,"Paleudol petrocalcico,mod.profund"
O Brien,Hapludol cumulico
Las Parvas,Udhortent tipico
Santa Isabel,Natralbol tipico
Fortin Tiburcio,Hapludol entico
Manantiales,NA
Capitan Sarmiento,Natracualf tipico
Cinco Cerros,"Paleudol petrocalcico, somera."
La Albina,"Natralbol petrocalcico,mod.profun."
Solis,NA
Capilla del Senor,Argiudol vertico
Aguas Verdes,Uidipsament tipico
Alejandro Korn,Argialbol tipico
Plomer,Natralbol tipico
Olavarria,"Paleudol petrocalcico,mod.profund"
Comandante Nicanor Otamendi,Natralbol tipico
Pillahuinco,"Paleudol petrocalcico, mod.profun."
Cinco Cerros,Hapludol tipico
Laprida,"Paleudol petrocalcico, mod.profun."
La Ponderosa,NA
La Malacara,NA
San Pedro,NA
Epecuen,Haplustol litico
Estacion Chas,Argiacuol vertico
Las Delicias,"Paleudol petrocalcico, somera."
Zapiola,Natracualf tipico
Lobos,Natracualf molico
Indacochea,NA
La Guanaca,Udipsament tipico
Esquina de Crotto,Natracuol tipico
El Arbolito,NA
Medanos,NA
Estancia San Bernardo,NA
Estancia San Baldomero,Natracuol tipico
Huemul,NA
Suelos Indiferenciados de bajos,Complejo de suelos indiferenciados
Comandante Espora,NA
Areas pantanosas,NA
Estancia Aldecoa,"Argiudol tipico, profunda."
O'Higgins,Natralbol tipico
Estancia La Alicia,Duracuol natrico
Erize,NA
Teodelina,NA
Ustipsament tipico sobre tosca,Ustortente litico
Torripsamente ustico,Torripsamente ustico
Haplustol tipico,Acuisalid tipico
Lagunas semipermanentes,NA
Faro Querandi,Hapludol tipico
Naposta,NA
Paraje Los Angeles,NA
Estancia Los Manantiales,NA
General Guido,Hapludol thapto argico
Napaleofu,Argiudol abruptico
Suelos Indiferenciados de Bajos,Complejo de suelos indiferenciados
Tandileufu,"Natracualfs molico, muy profunda"
La Delicia,NA
Sierra de los Padres,NA
La Alianza,Argiudol tipico
San Vicente,Hapludol tipico
La Alianza,NA
Cascada,NA
Alta Vista,NA
Harding Green,NA
Estela,NA
Estancia Tarrhue,Argialbol tipico
Estacion Invernadas,Argiacuol abruptico
San Isidro,NA
Valeria del Mar,Hapludol acuico
Estancia La Victoria,Pelludert tipico acuico
La Libertad,NA
El Rosario,NA
Guillermo,"Paleudol petrocalcico,mod.profun."
Estacion Rivera,NA
Saavedra,NA
Afloramiento de tosca,NA
Los Leones,NA
Epecuen,NA
Laguna Puan,NA
Cerro del Chimango,NA
Estancia La Chana,NA
San Isidro,Natralbol tipico
Vidriera,NA
La Victoria,Pelludert tipico acuico
Suelos indiferenciados de bajos,Complejo de suelos indiferenciados
Estacion Santo Domingo,Natralbol tipico
Chelforo,Natracualf glosico
Estancia La Criolla,Haplustol entico
Gowland,Natracuol tipico
Sierra Chica,NA
Navarro,Argialbol tipico
Gouin,NA
Zapiola,NA
Puesto El Zorro,NA
La Loma,NA
Miscelaneas,Miscelanea (agua)
Molina,NA
Minana,NA
Azul,"Paleudol petrocalcico,mod.profun."
Las Martinetas,"Hapludol entico,limosa fina,mix,termic"
Tecua,NA
Chocori,NA
Banados,Banado
Estacion Doce de Octubre,Natracualf tipico
Comandante Nicanor Otamendi,NA
Olavarria,NA
Apeadero Las Vaquerias,Natralbol tipico
Orense,NA
Juancho,Hapludol thapto natrico
General Guido,"Natracualfs molico, muy profunda"
Rincon de Lopez,Argiudol acuico
Rancho Grande,"Paleudol petrocalcico, somera."
La Celina,NA
Tres Esquinas,NA
Cinco Cerros,"Natrudol tipico, profunda."
Estacion Invernadas,NA
General Piran,NA
Chelforo,NA
Suelos indiferenciados de bajos,NA
Arroyo Pantanoso,NA
Coronel Vidal,NA
Estancia Tarrhue,NA
Videla Dorna,NA
La Guarida del Zorro,NA
La Reforma,NA
Necochea,Hapludol thapto natrico
La Pandorga,Hapludol tipico
Comandante Nicanor Otamendi,Natracuol tipico
Lincoln,Hapludol tapto argico
Estacion Dennehy,Natracuol tipico
Copetonas,NA
Arroyo de Zabala,Complejo indiferenciado
La Nueva Esperanza,NA
Nueve de Julio,Hapludol entico
Vedia,Natralbol tipico
El Vigilante,NA
Cañada Seca,NA
Carhue,NA
"Miscelanea, roca",NA
Tosca aflorante,NA
"Miscelaneas, tosca en superficie",NA
Laboulaye,"Paleudol petrocalcico,mod.profund"
La Otomana,"Paleudol petrocalcico,mod.profund"
Ingeniero Silveyra,NA
Dufaur,NA
Urquiza,NA
Gelly,NA
Azopardo,NA
Roca,Afloramiento rocoso
Balcarce,"Paleudol petrocalcico, somera"
Tres Arroyos,Natracuol tipico
Estancia Aldecoa,NA
Rio Quequen,NA
Tres Arroyos,"Paleudol petrocalcico, somera."
Estancia La Margarita,NA
Tres picos,NA
Esquina de Crotto,Haplacuol tipico
O'Higgins,NA
El Recuerdo,NA
O Brien,NA
Vedia,NA
Saforcada,NA
Nueve de Julio,NA
Banados,NA
Santa Luisa,NA
Faro Querandi,NA
Suelos Indiferenciados de bajo,NA
El Tuyu,NA
Esquina de Crotto,NA
Santa Teresita,NA
Olascoaga,NA
Morse,NA
Estacion Santo Domingo,NA
Estacion Morea,NA
Norumbega,NA
Azul,Argiudol tipico
Laguna Blanca,NA
Estancia Santo Domingo,NA
Miscelaneas (agua),NA
